table,id,column,before,after
episode,971a49da-e107-4c5b-b878-3a7ddf09572f,cover_path,r2://ppp-media/covers/episode/971a49da-e107-4c5b-b878-3a7ddf09572f/f4b6460a7e6cc25798282a7506258ba9.jpg,r2://ppp-media/covers/episode/971a49da-e107-4c5b-b878-3a7ddf09572f/f4b6460a7e6cc25798282a7506258ba9.jpg
episode,0f1c69cc-af4a-496b-8ef8-fc183845bf33,cover_path,r2://ppp-media/covers/episode/0f1c69cc-af4a-496b-8ef8-fc183845bf33/8076e077a01066f38caf83c2bd819635.jpg,r2://ppp-media/covers/episode/0f1c69cc-af4a-496b-8ef8-fc183845bf33/8076e077a01066f38caf83c2bd819635.jpg
episode,52479553-2e2e-4b57-967d-4d05d62ef57d,cover_path,r2://ppp-media/covers/episode/52479553-2e2e-4b57-967d-4d05d62ef57d/4ef91047378a755081804cbc1a2e50f1.jpg,r2://ppp-media/covers/episode/52479553-2e2e-4b57-967d-4d05d62ef57d/4ef91047378a755081804cbc1a2e50f1.jpg
episode,056c9f62-2dc8-497e-b6da-4dca5faafe78,cover_path,r2://ppp-media/covers/episode/056c9f62-2dc8-497e-b6da-4dca5faafe78/670954df8c1314fe7bf725d9cabc95b4.jpg,r2://ppp-media/covers/episode/056c9f62-2dc8-497e-b6da-4dca5faafe78/670954df8c1314fe7bf725d9cabc95b4.jpg
episode,2c75b8ae-a7aa-4272-8333-4472925c3052,cover_path,r2://ppp-media/covers/episode/2c75b8ae-a7aa-4272-8333-4472925c3052/350d736ce67c5cb160e8856bd9d3a556.jpg,r2://ppp-media/covers/episode/2c75b8ae-a7aa-4272-8333-4472925c3052/350d736ce67c5cb160e8856bd9d3a556.jpg
episode,384aa750-0826-4c0f-915f-a8b037470739,cover_path,r2://ppp-media/covers/episode/384aa750-0826-4c0f-915f-a8b037470739/2860114bbf3aa999596375b4765ed26a.jpg,r2://ppp-media/covers/episode/384aa750-0826-4c0f-915f-a8b037470739/2860114bbf3aa999596375b4765ed26a.jpg
episode,85cbaf56-596d-4dbc-9ac2-8b611f719f27,cover_path,r2://ppp-media/covers/episode/85cbaf56-596d-4dbc-9ac2-8b611f719f27/1b6962ee194a0960d6041f2c710e1357.jpg,r2://ppp-media/covers/episode/85cbaf56-596d-4dbc-9ac2-8b611f719f27/1b6962ee194a0960d6041f2c710e1357.jpg
episode,2b958245-2bd8-4a7a-90f1-ecab6ef68986,cover_path,r2://ppp-media/covers/episode/2b958245-2bd8-4a7a-90f1-ecab6ef68986/6a818a1e32981267235ad2352bd31534.jpg,r2://ppp-media/covers/episode/2b958245-2bd8-4a7a-90f1-ecab6ef68986/6a818a1e32981267235ad2352bd31534.jpg
episode,ff40dda0-a872-4d35-9a6d-2380c07b4b9f,cover_path,r2://ppp-media/covers/episode/ff40dda0-a872-4d35-9a6d-2380c07b4b9f/7c6cea6ac9b0f2bdd9b79959de4de2b0.jpg,r2://ppp-media/covers/episode/ff40dda0-a872-4d35-9a6d-2380c07b4b9f/7c6cea6ac9b0f2bdd9b79959de4de2b0.jpg
episode,d4ccbad6-753c-4555-8c8c-2ce8ce27c3d1,cover_path,r2://ppp-media/covers/episode/d4ccbad6-753c-4555-8c8c-2ce8ce27c3d1/e862e6ec63b187b5aac0a21d701d6d8d.jpg,r2://ppp-media/covers/episode/d4ccbad6-753c-4555-8c8c-2ce8ce27c3d1/e862e6ec63b187b5aac0a21d701d6d8d.jpg
